Class;Organism;Km value
5.3.1.12;Escherichia coli;2.5
5.3.1.12;Escherichia coli;2.6
5.3.1.12;Escherichia coli;8.5
5.3.1.12;Escherichia coli;9.4
5.3.1.12;Escherichia coli;10.21
5.3.1.12;Escherichia coli;21
5.3.1.12;Escherichia coli;38
5.3.1.12;Escherichia coli;39
5.3.1.12;Escherichia coli;56
5.3.1.12;Escherichia coli;200
5.3.1.12;Escherichia coli;220
5.3.1.13;Escherichia coli;0.3
5.3.1.13;Escherichia coli;0.35
5.3.1.13;Escherichia coli;0.57
5.3.1.13;Escherichia coli;0.61
5.3.1.13;Escherichia coli;0.64
5.3.1.13;Escherichia coli;1.2
5.3.1.14;Escherichia coli;2
5.3.1.14;Escherichia coli;5
5.3.1.16;Escherichia coli;1.6
5.3.1.16;Escherichia coli;1.8
5.3.1.3;Escherichia coli;42
5.3.1.3;Escherichia coli;45
5.3.1.3;Escherichia coli;170
5.3.1.3;Escherichia coli;280
5.3.1.6;Escherichia coli;0.83
5.3.1.6;Escherichia coli;3.1
5.3.1.6;Escherichia coli;4.4
5.3.1.9;Escherichia coli;0.2
5.3.3.8;Escherichia coli;0.006
5.3.3.8;Escherichia coli;0.089
5.4.2.5;Escherichia coli;0.9
5.4.2.5;Escherichia coli;1.1
5.4.2.5;Escherichia coli;8.5
5.4.2.5;Escherichia coli;17
5.4.2.7;Escherichia coli;0.013
5.4.2.7;Escherichia coli;0.014
5.4.2.7;Escherichia coli;0.015
5.4.2.7;Escherichia coli;0.022
5.4.2.7;Escherichia coli;0.043
5.4.4.2;Escherichia coli;0.007
5.4.4.2;Escherichia coli;0.04
5.4.4.2;Escherichia coli;0.066
5.4.4.2;Escherichia coli;0.076
5.4.4.2;Escherichia coli;0.103
5.4.4.2;Escherichia coli;0.192
5.4.4.2;Escherichia coli;0.195
5.4.4.2;Escherichia coli;0.261
5.4.4.2;Escherichia coli;0.319
5.4.4.2;Escherichia coli;0.466
5.4.99.12;Escherichia coli;0.000086
5.4.99.12;Escherichia coli;0.00011
5.4.99.12;Escherichia coli;0.00094
5.4.99.12;Escherichia coli;0.0018
5.4.99.18;Escherichia coli;0.0226
5.4.99.5;Escherichia coli;0.3
5.4.99.5;Escherichia coli;0.45
5.4.99.5;Escherichia coli;0.59
5.4.99.5;Escherichia coli;1.16
5.4.99.59;Escherichia coli;3.43
5.3.3.6;Eubacterium barkeri;7
5.3.3.6;Eubacterium barkeri;60
5.1.3.11;Eubacterium cellulosolvens;11.3
5.1.3.11;Eubacterium cellulosolvens;72
5.4.99.2;Euglena gracilis;0.0279
5.4.99.2;Euglena gracilis;0.3474
5.3.3.9;Felis catus;0.025
5.1.1.4;Ferroplasma acidarmanus;1.17
5.1.1.4;Ferroplasma acidarmanus;31.6
5.1.1.4;Ferroplasma acidarmanus;53
5.1.1.8;Ferroplasma acidarmanus;2.17
5.1.1.8;Ferroplasma acidarmanus;6.12
5.4.4.2;Flavobacterium sp.;0.076
5.4.4.2;Flavobacterium sp.;0.171
5.4.4.2;Flavobacterium sp.;0.254
5.4.4.2;Flavobacterium sp.;0.27
5.4.4.2;Flavobacterium sp.;0.313
5.4.4.2;Flavobacterium sp.;0.35
5.3.1.13;Francisella tularensis;0.38
5.4.2.2;Fusarium oxysporum;0.00103
5.4.2.2;Fusarium oxysporum;0.1
5.1.1.3;Fusobacterium nucleatum subsp. nucleatum;0.9
5.1.1.3;Fusobacterium nucleatum subsp. nucleatum;1.04
5.1.1.3;Fusobacterium nucleatum subsp. nucleatum;1.5
5.1.1.3;Fusobacterium nucleatum subsp. nucleatum;1.7
5.1.1.3;Fusobacterium nucleatum subsp. nucleatum;26
5.1.3.2;Galdieria sulphuraria;0.064
5.3.3.2;Gallus gallus;0.0013
5.3.3.2;Gallus gallus;0.0017
5.3.3.2;Gallus gallus;0.0025
5.4.2.4;Gallus gallus;0.0024
5.4.2.4;Gallus gallus;0.0028
5.4.99.13;Geobacillus kaustophilus;0.0201
5.4.99.13;Geobacillus kaustophilus;0.0453
5.4.99.13;Geobacillus kaustophilus;0.0508
5.1.1.1;Geobacillus stearothermophilus;2.3
5.1.1.1;Geobacillus stearothermophilus;2.6
5.1.1.1;Geobacillus stearothermophilus;2.8
5.1.1.1;Geobacillus stearothermophilus;4
5.1.1.1;Geobacillus stearothermophilus;4.5
5.1.1.1;Geobacillus stearothermophilus;4.7
5.1.1.1;Geobacillus stearothermophilus;5.1
5.1.1.1;Geobacillus stearothermophilus;8.3
5.1.1.1;Geobacillus stearothermophilus;18
5.1.1.1;Geobacillus stearothermophilus;32
5.3.1.4;Geobacillus stearothermophilus;77
5.3.1.4;Geobacillus stearothermophilus;100
5.3.1.4;Geobacillus stearothermophilus;279
5.3.1.4;Geobacillus stearothermophilus;578
5.3.1.5;Geobacillus stearothermophilus;100
5.3.1.5;Geobacillus stearothermophilus;200
5.3.1.8;Geobacillus thermodenitrificans;8
5.3.1.8;Geobacillus thermodenitrificans;100
5.3.1.8;Geobacillus thermodenitrificans;149
5.3.1.8;Geobacillus thermodenitrificans;243
5.1.3.7;Giardia intestinalis;0.0011
5.1.3.7;Giardia intestinalis;0.0114
5.1.3.7;Giardia intestinalis;0.85
5.1.3.7;Giardia intestinalis;1.22
5.3.1.1;Giardia intestinalis;0.53
5.3.1.1;Giardia intestinalis;0.87
5.3.1.1;Giardia intestinalis;1.1
5.4.2.2;Giardia intestinalis;0.003
5.4.2.2;Giardia intestinalis;0.0082
5.4.2.3;Giardia intestinalis;0.7
5.4.2.8;Giardia intestinalis;0.0056
5.5.1.4;Gleichenia glauca;0.9
5.5.1.4;Gleichenia glauca;0.922
5.5.1.6;Glycine max;0.002
5.5.1.6;Glycine max;0.004
5.5.1.6;Glycine max;0.007
5.5.1.6;Glycine max;0.01
5.5.1.6;Glycine max;0.013
5.5.1.6;Glycine max;0.015
5.5.1.6;Glycine max;0.018
5.5.1.6;Glycine max;0.02
5.5.1.6;Glycine max;0.021
5.5.1.6;Glycine max;0.029
5.5.1.6;Glycine max;0.03
5.5.1.6;Glycine max;0.042
5.5.1.6;Glycine max;0.049
5.5.1.6;Glycine max;0.15
5.3.1.24;Hansenula henricii;1.3
5.1.3.5;Helianthus tuberosus;0.16
5.1.1.1;Helicobacter pylori;6.2
5.1.1.1;Helicobacter pylori;6.2
5.1.1.1;Helicobacter pylori;100
5.3.2.6;Helicobacter pylori;0.11
5.3.2.6;Helicobacter pylori;0.135
5.3.2.6;Helicobacter pylori;0.19
5.3.2.6;Helicobacter pylori;0.23
5.1.3.3;Homo sapiens;37
5.1.3.3;Homo sapiens;54
5.1.99.2;Homo sapiens;3.9
5.3.1.6;Homo sapiens;2.2
5.3.1.9;Homo sapiens;0.0596
5.3.1.9;Homo sapiens;0.0635
5.3.1.9;Homo sapiens;0.0657
5.3.1.9;Homo sapiens;0.0734
5.3.1.9;Homo sapiens;0.0769
5.3.1.9;Homo sapiens;0.351
5.3.1.9;Homo sapiens;0.445
5.3.1.9;Homo sapiens;0.449
5.3.1.9;Homo sapiens;0.505
5.3.1.9;Homo sapiens;0.573
5.3.1.9;Homo sapiens;169
5.3.1.9;Homo sapiens;170
5.3.1.9;Homo sapiens;221
5.3.1.9;Homo sapiens;267.4
5.3.3.1;Homo sapiens;0.0001
5.3.3.1;Homo sapiens;0.00041
5.3.3.1;Homo sapiens;0.00083
5.3.3.1;Homo sapiens;0.0024
5.3.3.1;Homo sapiens;0.0033
5.3.3.1;Homo sapiens;0.0044
5.3.3.1;Homo sapiens;0.0175
5.3.3.1;Homo sapiens;0.0279
5.3.3.1;Homo sapiens;0.033
5.3.3.1;Homo sapiens;0.0623
5.3.3.1;Homo sapiens;0.0808
5.3.3.1;Homo sapiens;0.088
5.3.3.1;Homo sapiens;0.0884
5.3.3.2;Homo sapiens;0.0228
5.3.99.4;Homo sapiens;0.059
5.3.99.4;Homo sapiens;0.065
5.3.99.5;Homo sapiens;0.071
5.3.99.5;Homo sapiens;0.087
5.4.2.11;Homo sapiens;0.4
5.4.2.3;Homo sapiens;0.046
5.4.2.4;Homo sapiens;0.0094
5.4.2.4;Homo sapiens;0.0096
5.4.2.4;Homo sapiens;0.0222
5.4.2.8;Homo sapiens;0.0032
5.4.2.8;Homo sapiens;0.006
5.4.2.8;Homo sapiens;0.0075
5.4.2.8;Homo sapiens;0.0135
5.4.2.8;Homo sapiens;0.016
5.4.2.8;Homo sapiens;0.054
5.4.99.2;Homo sapiens;0.06
5.5.1.4;Homo sapiens;1.15
5.99.1.3;Homo sapiens;0.0000012
5.99.1.3;Homo sapiens;0.21
5.99.1.3;Homo sapiens;0.3
5.99.1.3;Homo sapiens;0.39
5.99.1.3;Homo sapiens;0.55
5.99.1.3;Homo sapiens;0.61
5.99.1.3;Homo sapiens;0.94
5.1.3.2;Hordeum vulgare;0.04
5.1.3.2;Hordeum vulgare;0.055
5.1.3.2;Hordeum vulgare;0.16
5.1.3.2;Hordeum vulgare;0.2
5.1.3.5;Hordeum vulgare;1.4
5.1.3.5;Hordeum vulgare;1.8
5.5.1.2;Hydrogenophaga intermedia;0.15
5.5.1.2;Hydrogenophaga intermedia;7.1
5.4.2.11;Hyphomicrobium sp.;0.69
5.4.2.11;Hyphomicrobium sp.;6
5.4.99.8;Isodon japonicus;0.05
5.4.99.5;Kitasatospora aureofaciens;0.52
5.3.1.6;Klebsiella aerogenes;1.8
5.3.1.9;Klebsiella aerogenes;0.36
5.3.1.25;Klebsiella pneumoniae;35
5.3.1.25;Klebsiella pneumoniae;50
5.3.1.25;Klebsiella pneumoniae;55
5.3.1.25;Klebsiella pneumoniae;98
5.3.1.25;Klebsiella pneumoniae;140
5.3.1.25;Klebsiella pneumoniae;160
5.3.1.3;Klebsiella pneumoniae;35
5.3.1.3;Klebsiella pneumoniae;50
5.3.1.3;Klebsiella pneumoniae;55
5.3.1.3;Klebsiella pneumoniae;98
5.3.1.3;Klebsiella pneumoniae;140
5.3.1.3;Klebsiella pneumoniae;160
5.4.99.11;Klebsiella pneumoniae;42.7
5.1.99.3;Klebsiella pneumoniae subsp. pneumoniae;0.3
5.1.99.3;Klebsiella pneumoniae subsp. pneumoniae;0.4
5.4.99.11;Klebsiella sp.;54.6
5.4.2.2;Komagataeibacter xylinus;2.6
5.4.99.64;Kyrpidia tusciae DSM 2912;0.087
5.4.99.64;Kyrpidia tusciae DSM 2912;0.09
5.4.99.64;Kyrpidia tusciae DSM 2912;0.313
5.3.1.5;Lachnoclostridium phytofermentans;61.9
5.3.1.5;Lachnoclostridium phytofermentans;66
5.1.1.3;Lactobacillus brevis;5.94
5.1.1.3;Lactobacillus brevis;6.39
5.1.3.21;Lactobacillus brevis;2.2
5.4.2.6;Lactobacillus brevis;0.012
5.1.1.21;Lactobacillus buchneri;5
5.1.1.21;Lactobacillus buchneri;13.2
5.1.2.1;Lactobacillus curvatus;50
5.1.2.1;Lactobacillus curvatus;70
5.2.1.5;Lactobacillus delbrueckii subsp. bulgaricus;0.0619
5.4.2.6;Lactobacillus delbrueckii subsp. lactis;0.23
5.1.1.3;Lactobacillus fermentum;0.26
5.1.1.3;Lactobacillus fermentum;0.33
5.1.1.3;Lactobacillus fermentum;1.1
5.1.1.3;Lactobacillus fermentum;1.2
5.1.1.3;Lactobacillus fermentum;1.3
5.1.1.3;Lactobacillus fermentum;3.5
5.1.1.3;Lactobacillus fermentum;4.5
5.1.1.3;Lactobacillus fermentum;5.8
5.1.1.3;Lactobacillus fermentum;35
5.1.1.3;Lactobacillus fermentum;41
5.3.1.4;Lactobacillus fermentum;46
5.3.1.4;Lactobacillus fermentum;51
5.3.1.4;Lactobacillus fermentum;55
5.3.1.4;Lactobacillus fermentum;56
5.3.1.4;Lactobacillus fermentum;61
5.3.1.4;Lactobacillus fermentum;63
5.3.1.4;Lactobacillus fermentum;74
5.3.1.4;Lactobacillus fermentum;78
5.3.1.4;Lactobacillus fermentum;82
5.3.1.4;Lactobacillus fermentum;84
5.3.1.4;Lactobacillus fermentum;93
5.3.1.4;Lactobacillus fermentum;94
5.3.1.4;Lactobacillus fermentum;96
5.3.1.4;Lactobacillus fermentum;108
5.3.1.4;Lactobacillus fermentum;116
5.3.1.4;Lactobacillus fermentum;117
5.3.1.4;Lactobacillus fermentum;125
5.3.1.4;Lactobacillus fermentum;129
5.3.1.4;Lactobacillus fermentum;137
5.3.1.4;Lactobacillus fermentum;166
5.3.1.4;Lactobacillus fermentum;201
5.3.1.4;Lactobacillus fermentum;246
5.3.1.4;Lactobacillus fermentum;287
5.1.1.3;Lactobacillus plantarum;0.84
5.1.1.3;Lactobacillus plantarum;1.64
5.3.1.4;Lactobacillus plantarum;18
5.3.1.4;Lactobacillus plantarum;28
5.3.1.4;Lactobacillus plantarum;43.4
5.3.1.4;Lactobacillus plantarum;119
5.3.1.5;Lactobacillus reuteri;177.4
5.3.1.5;Lactobacillus reuteri;1099
5.1.3.B1;Lactococcus lactis;20
5.1.3.B1;Lactococcus lactis;21
5.1.3.B1;Lactococcus lactis;25
5.1.3.B1;Lactococcus lactis;32
5.1.3.B1;Lactococcus lactis;34
5.1.3.B1;Lactococcus lactis;37
5.3.1.26;Lactococcus lactis;58
5.3.1.26;Lactococcus lactis;58
5.3.1.26;Lactococcus lactis;143
5.3.1.5;Lactococcus lactis;2.25
5.3.1.5;Lactococcus lactis;3.46
5.3.1.5;Lactococcus lactis;4.4
5.4.2.2;Lactococcus lactis;0.0168
5.4.2.6;Lactococcus lactis;0.23
5.3.1.5;Lactococcus lactis subsp. lactis;5.3
5.4.2.11;Lactococcus lactis subsp. lactis;1.03
5.3.1.7;Lechevalieria aerocolonigenes;1.4
5.3.1.7;Lechevalieria aerocolonigenes;2.1
5.3.1.7;Lechevalieria aerocolonigenes;12
5.3.1.1;Leishmania donovani;0.328
5.99.1.3;Leishmania donovani;0.33
5.99.1.3;Leishmania donovani;0.55
5.4.2.12;Leishmania mexicana;0.11
5.4.2.12;Leishmania mexicana;0.27
5.3.1.9;Leishmania mexicana mexicana;0.1425
5.5.1.4;Lemna gibba;0.035
5.1.3.2;Marinithermus hydrothermalis;0.146
5.1.3.2;Marinithermus hydrothermalis;0.243
5.1.3.2;Marinithermus hydrothermalis;0.316
5.1.3.2;Marinithermus hydrothermalis;0.362
5.1.3.2;Marinithermus hydrothermalis;0.426
5.1.3.2;Marinithermus hydrothermalis;0.437
5.1.3.7;Marinithermus hydrothermalis;0.519
5.1.3.7;Marinithermus hydrothermalis;0.578
5.1.3.7;Marinithermus hydrothermalis;0.887
5.1.1.1;Medicago sativa;12
5.1.1.1;Medicago sativa;29.6
5.4.99.16;Meiothermus ruber;57.5
5.4.99.16;Meiothermus ruber;69.6
5.4.99.16;Meiothermus ruber;79.2
5.4.99.16;Meiothermus ruber;98.9
5.4.99.16;Meiothermus ruber;126
5.4.99.16;Meiothermus ruber;126.2
5.4.99.16;Meiothermus ruber;154
5.3.3.11;Mentha x piperita;0.27
5.1.3.3;Meriones unguiculatus;19
5.3.1.14;Mesorhizobium loti;2
5.3.1.14;Mesorhizobium loti;5
5.3.1.14;Mesorhizobium loti;5.25
5.3.1.14;Mesorhizobium loti;6.18
5.3.1.14;Mesorhizobium loti;7.11
5.3.1.14;Mesorhizobium loti;23.5
5.3.1.9;Methanocaldococcus jannaschii;0.04
5.3.1.9;Methanocaldococcus jannaschii;1
5.3.3.2;Methanocaldococcus jannaschii;15.3
5.4.2.12;Methanocaldococcus jannaschii;0.33
5.4.99.5;Methanocaldococcus jannaschii;0.041
5.1.3.14;Methanococcus maripaludis;0.36
5.3.1.9;Methanosarcina mazei;0.7
5.3.1.9;Methanosarcina mazei;1
5.3.3.2;Methanothermobacter thermautotrophicus;0.064
5.3.2.6;Methylibium petroleiphilum;0.06
5.3.2.6;Methylibium petroleiphilum;0.105
5.3.2.6;Methylibium petroleiphilum;0.14
5.3.2.6;Methylibium petroleiphilum;0.211
5.3.1.27;Methylococcus capsulatus;0.1
5.3.1.27;Methylococcus capsulatus;1.1
5.3.1.1;Moritella marina;1.9
5.3.1.1;Moritella marina;4.8
5.1.1.18;Mus musculus;1.8
5.1.1.18;Mus musculus;8
5.1.1.18;Mus musculus;8.2
5.1.1.18;Mus musculus;9
5.1.1.18;Mus musculus;9.2
5.1.1.18;Mus musculus;10
5.1.1.18;Mus musculus;10.5
5.1.1.18;Mus musculus;13
5.1.3.3;Mus musculus;19
5.1.99.6;Mus musculus;0.00033
5.1.99.6;Mus musculus;0.0016
5.3.2.1;Mus musculus;0.02
5.3.2.1;Mus musculus;0.031
5.1.1.1;Mycobacterium avium;0.4
5.1.1.1;Mycobacterium avium;0.5
5.3.1.4;Mycobacterium smegmatis;27
5.3.1.4;Mycobacterium smegmatis;33.3
5.3.2.1;Mycobacterium smegmatis;0.11
5.3.2.1;Mycobacterium smegmatis;0.152
5.3.2.1;Mycobacterium smegmatis;0.25
5.3.2.1;Mycobacterium smegmatis;0.79
5.3.2.1;Mycobacterium smegmatis;0.89
5.3.2.1;Mycobacterium smegmatis;3.5
5.3.2.1;Mycobacterium smegmatis;96
5.1.1.7;Mycobacterium tuberculosis;12
5.1.99.4;Mycobacterium tuberculosis;0.041
5.1.99.4;Mycobacterium tuberculosis;0.048
5.1.99.4;Mycobacterium tuberculosis;0.071
5.1.99.4;Mycobacterium tuberculosis;0.086
5.1.99.4;Mycobacterium tuberculosis;0.087
5.3.1.1;Mycobacterium tuberculosis;0.0025
5.3.1.1;Mycobacterium tuberculosis;0.084
5.3.1.9;Mycobacterium tuberculosis;0.318
5.4.2.2;Mycobacterium tuberculosis;0.1
5.4.99.3;Mycobacterium tuberculosis;2.4
5.4.99.5;Mycobacterium tuberculosis;1.2
5.4.99.5;Mycobacterium tuberculosis;5
5.5.1.16;Mycobacterium tuberculosis;0.0016
5.3.3.2;Narcissus pseudonarcissus;0.0076
5.5.1.5;Neurospora crassa;0.0103
5.5.1.5;Neurospora crassa;0.0207
5.5.1.5;Neurospora crassa;26.2
5.3.3.1;Nocardia erythropolis;0.007
5.3.3.1;Nocardia erythropolis;0.0125
5.3.3.1;Nocardia erythropolis;0.548
5.2.1.1;Nocardia farcinica;0.00053
5.2.1.1;Nocardia farcinica;0.0037
5.2.1.1;Nocardia farcinica;0.0046
5.2.1.1;Nocardia farcinica;0.007
5.1.1.14;Nocardia uniformis;0.036
5.1.1.14;Nocardia uniformis;0.07
5.4.99.15;Nostoc flagelliforme;1.87
5.1.3.8;Nostoc punctiforme;16.6
5.1.3.8;Nostoc sp.;19.7
5.1.3.8;Nostoc sp.;24.6
5.1.1.5;Oenococcus oeni;1
5.1.1.5;Oenococcus oeni;2
5.1.1.5;Oenococcus oeni;9.8
5.1.1.5;Oenococcus oeni;11
5.1.1.5;Oenococcus oeni;15
5.1.1.5;Oenococcus oeni;21
5.1.1.5;Oenococcus oeni;22
5.1.1.5;Oenococcus oeni;27
5.1.1.5;Oenococcus oeni;31
5.4.99.5;Ogataea angusta;1.6
5.3.1.5;Opuntia ficus-indica;46.4
5.3.1.5;Opuntia ficus-indica;259.6
5.3.1.5;Opuntia vulgaris;46.4
5.3.1.5;Opuntia vulgaris;259.6
5.4.2.8;Oryctolagus cuniculus;0.016
5.4.2.8;Oryctolagus cuniculus;0.022
5.4.2.8;Oryctolagus cuniculus;0.074
5.5.1.4;Oryza coarctata;1.8
5.5.1.4;Oryza coarctata;2.5
5.5.1.4;Oryza coarctata;2.83
5.1.1.18;Oryza sativa;2
5.1.1.18;Oryza sativa;8.9
5.1.1.18;Oryza sativa;10
5.1.1.18;Oryza sativa;18
5.1.1.18;Oryza sativa;40
5.1.1.18;Oryza sativa;48
5.1.1.18;Oryza sativa;78
5.1.1.18;Oryza sativa;130
5.1.3.18;Oryza sativa;0.00712
5.1.3.18;Oryza sativa;0.012
5.1.3.6;Oryza sativa;0.259
5.4.99.30;Oryza sativa;0.0228
5.4.99.30;Oryza sativa;0.0454
5.4.99.30;Oryza sativa;0.0531
5.4.99.30;Oryza sativa;0.055
5.1.3.3;Ovis aries;19
5.3.99.3;Ovis aries;0.04
5.3.99.3;Ovis aries;0.15
5.4.99.2;Ovis aries;0.062
5.4.99.2;Ovis aries;0.24
5.4.3.11;Pantoea agglomerans;0.05
5.4.99.11;Pantoea dispersa;39.9
5.5.1.19;Paracoccus haeundaensis;0.035
5.3.1.4;Parageobacillus thermoglucosidasius;175
5.3.1.4;Pediococcus pentosaceus;66
5.3.1.6;Pediococcus pentosaceus;2.8
5.1.1.22;Pelagibaca bermudensis;8
5.1.1.22;Pelagibaca bermudensis;42
5.1.1.1;Penaeus monodon;167
5.1.1.1;Penaeus monodon;179
5.1.3.3;Perca flavescens;12
5.1.3.7;Physarum polycephalum;2.7
5.4.99.16;Picrophilus torridus;42.4
5.4.99.16;Picrophilus torridus;137.8
5.4.99.16;Picrophilus torridus;210.3
5.5.1.4;Pinus ponderosa;0.33
5.3.1.5;Piromyces sp.;49.9
5.1.3.2;Pisum sativum;0.15
5.1.3.2;Pisum sativum;0.16
5.1.3.2;Pisum sativum;0.29
5.1.3.2;Pisum sativum;0.31
5.1.3.5;Pisum sativum;0.015
5.1.3.5;Pisum sativum;0.016
5.3.1.6;Pisum sativum;0.66
5.3.1.6;Pisum sativum;0.88
5.3.1.9;Pisum sativum;0.27
5.4.2.2;Pisum sativum;0.018
5.4.2.2;Pisum sativum;0.033
5.1.3.2;Poterioochromonas malhamensis;0.26
5.1.3.2;Poterioochromonas malhamensis;1.67
5.1.1.1;Procambarus clarkii;73.5
5.1.1.1;Procambarus clarkii;171
5.4.99.2;Propionibacterium freudenreichii subsp. shermanii;0.0345
5.4.99.2;Propionibacterium freudenreichii subsp. shermanii;0.085
5.3.1.15;Providencia stuartii;22
5.3.1.15;Providencia stuartii;38
5.3.1.15;Providencia stuartii;47
5.3.1.15;Providencia stuartii;54
5.1.1.1;Pseudomonas aeruginosa;1.1
5.1.1.1;Pseudomonas aeruginosa;1.4
5.1.1.8;Pseudomonas aeruginosa;0.0016
5.1.1.8;Pseudomonas aeruginosa;0.0024
5.1.1.8;Pseudomonas aeruginosa;14.4
5.3.1.8;Pseudomonas aeruginosa;1.18
5.3.1.8;Pseudomonas aeruginosa;9.04
5.3.1.8;Pseudomonas aeruginosa;12.28
5.3.1.8;Pseudomonas aeruginosa;12.36
5.3.1.8;Pseudomonas aeruginosa;12.9
5.3.1.8;Pseudomonas aeruginosa;15.9
5.3.1.8;Pseudomonas aeruginosa;16.26
5.3.1.8;Pseudomonas aeruginosa;23.12
5.4.2.2;Pseudomonas aeruginosa;0.0013
5.4.2.2;Pseudomonas aeruginosa;0.0024
5.4.2.2;Pseudomonas aeruginosa;0.0027
5.4.2.2;Pseudomonas aeruginosa;0.0028
5.4.2.2;Pseudomonas aeruginosa;0.0034
5.4.2.2;Pseudomonas aeruginosa;0.008
5.4.2.2;Pseudomonas aeruginosa;0.009
5.4.2.2;Pseudomonas aeruginosa;0.01
5.4.2.2;Pseudomonas aeruginosa;0.012
5.4.2.2;Pseudomonas aeruginosa;0.016
5.4.4.2;Pseudomonas aeruginosa;0.0009
5.4.4.2;Pseudomonas aeruginosa;0.0045
5.4.4.2;Pseudomonas aeruginosa;0.012
5.4.4.2;Pseudomonas aeruginosa;0.017
5.4.4.2;Pseudomonas aeruginosa;0.021
5.4.99.61;Pseudomonas denitrificans (nomen rejiciendum);0.00091
5.4.99.61;Pseudomonas denitrificans (nomen rejiciendum);0.91
5.1.1.1;Pseudomonas fluorescens;4.7
5.1.1.1;Pseudomonas fluorescens;8.1
5.1.1.1;Pseudomonas fluorescens;8.7
5.1.1.1;Pseudomonas fluorescens;12.8
5.1.1.1;Pseudomonas fluorescens;18.4
5.1.1.1;Pseudomonas fluorescens;18.9
5.4.99.11;Pseudomonas mesoacidophila;0.0192
5.4.99.11;Pseudomonas mesoacidophila;30
5.4.99.11;Pseudomonas mesoacidophila;40
5.4.99.11;Pseudomonas mesoacidophila;43
5.4.99.11;Pseudomonas mesoacidophila;79
5.4.99.11;Pseudomonas mesoacidophila;100
5.4.99.11;Pseudomonas mesoacidophila;185
5.4.99.11;Pseudomonas mesoacidophila;240
5.4.99.11;Pseudomonas mesoacidophila;500
5.3.2.1;Pseudomonas pavonaceae;0.061
5.3.2.1;Pseudomonas pavonaceae;0.113
5.1.1.1;Pseudomonas putida;7.3
5.1.1.1;Pseudomonas putida;7.4
5.1.1.1;Pseudomonas putida;10.34
5.1.1.10;Pseudomonas putida;4.1
5.1.1.10;Pseudomonas putida;4.8
5.1.1.10;Pseudomonas putida;7.8
5.1.1.10;Pseudomonas putida;9
5.1.1.10;Pseudomonas putida;9.4
5.1.1.10;Pseudomonas putida;11.1
5.1.1.10;Pseudomonas putida;11.5
5.1.1.10;Pseudomonas putida;11.9
5.1.1.10;Pseudomonas putida;13.2
5.1.1.10;Pseudomonas putida;13.2
